Gender,ParentEdu,ParentMaritalStatus,ExtraCurricular,IsFirstChild,Siblings,Transportation,AvgReadingScore,AvgWritingScore,traveltime,studytime,internet,freetime,absences,CGPA
female,bachelor's degree,married,regularly,yes,3,school_bus,71,74,2,2,no,3,6,C
female,some college,married,sometimes,yes,0,,90,88,1,2,yes,3,4,D
female,master's degree,single,sometimes,yes,4,school_bus,93,91,1,2,yes,3,10,B
male,associate's degree,married,never,no,1,,56,42,1,3,yes,2,2,F
male,some college,married,sometimes,yes,0,school_bus,78,75,1,2,no,3,4,C
female,associate's degree,married,regularly,yes,1,school_bus,84,79,1,2,yes,4,10,C
female,some college,widowed,never,no,1,private,93,89,1,2,yes,4,0,B
male,some college,married,sometimes,yes,1,private,43,39,2,2,no,1,6,F
male,high school,single,sometimes,no,3,private,64,68,1,2,yes,2,0,D
female,high school,married,regularly,yes,,private,59,50,1,2,yes,5,0,F
male,associate's degree,,sometimes,yes,1,private,54,52,1,2,yes,3,0,F
male,associate's degree,divorced,sometimes,yes,1,school_bus,52,43,3,3,yes,2,4,F
female,high school,married,regularly,no,1,private,82,74,1,1,yes,3,2,D
male,some college,single,sometimes,yes,1,private,73,71,2,2,yes,4,2,B
female,master's degree,divorced,sometimes,yes,2,private,53,58,1,3,yes,5,0,F
female,some high school,married,sometimes,yes,0,private,75,78,1,1,yes,4,4,D
male,high school,married,sometimes,yes,0,school_bus,89,86,1,3,yes,2,6,B
female,some high school,divorced,sometimes,yes,1,school_bus,32,28,3,2,no,3,4,F
male,master's degree,single,sometimes,no,1,private,42,47,1,1,yes,5,16,F
female,associate's degree,married,never,yes,3,private,56,58,1,1,yes,1,4,F
male,high school,married,sometimes,yes,5,school_bus,69,63,1,2,yes,4,0,D
female,some college,married,sometimes,no,2,school_bus,75,70,1,1,yes,4,0,D
male,,married,never,yes,5,,53,51,1,2,yes,5,2,F
female,some high school,divorced,never,no,3,,71,71,2,2,yes,4,0,D
male,,married,sometimes,yes,2,school_bus,71,80,1,3,yes,3,2,C
male,master's degree,married,regularly,yes,1,school_bus,76,76,1,1,yes,2,14,C
male,some college,married,sometimes,yes,5,school_bus,53,53,1,1,yes,2,2,D
female,bachelor's degree,married,sometimes,yes,4,school_bus,70,76,1,1,yes,2,4,D
male,high school,married,sometimes,no,1,private,70,65,1,2,yes,3,4,C
female,some college,single,sometimes,yes,0,private,72,72,1,2,yes,4,16,D
female,some college,single,sometimes,yes,5,,65,61,1,2,yes,4,0,D
female,master's degree,divorced,sometimes,yes,1,school_bus,73,66,2,2,yes,3,0,F
male,some college,married,sometimes,no,2,private,42,38,1,2,yes,5,0,F
male,some college,divorced,sometimes,yes,0,school_bus,87,82,1,2,yes,3,0,A
male,associate's degree,single,sometimes,no,,school_bus,81,79,1,1,yes,4,0,B
female,associate's degree,married,regularly,no,2,private,82,85,2,1,no,5,0,C
female,some high school,married,regularly,yes,1,private,64,60,1,3,yes,4,2,F
female,associate's degree,married,regularly,no,1,school_bus,91,90,2,3,yes,4,7,C
male,associate's degree,single,regularly,yes,5,school_bus,56,58,1,3,yes,3,2,F
male,associate's degree,married,never,yes,0,school_bus,60,52,1,1,no,3,8,F
female,associate's degree,divorced,regularly,no,1,,74,69,2,2,yes,3,25,F
male,some college,married,regularly,yes,3,school_bus,65,67,1,1,yes,4,8,D
female,associate's degree,married,sometimes,yes,5,school_bus,55,52,1,2,yes,3,2,F
male,associate's degree,single,sometimes,yes,3,school_bus,53,55,1,1,yes,4,0,D
female,high school,married,regularly,yes,,private,72,77,2,2,yes,3,14,D
male,high school,married,sometimes,,3,,84,82,1,2,yes,2,8,B
male,some college,married,,no,3,school_bus,55,48,1,2,yes,3,12,F
male,associate's degree,married,regularly,no,2,private,68,68,1,4,yes,2,4,C
male,some college,divorced,regularly,yes,3,school_bus,45,43,1,2,no,3,2,F
